ref	continent	sample	maf_bin	accuracy
REF	CENTRAL_SOUTH_ASIA	HGDP00001	[0.3, 0.51)	0.945429685929143
REF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.01, 0.03)	0.9782174905306424
REF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.03, 0.06)	0.9788416190199309
REF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.06, 0.1)	0.9769293741162461
REF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.1, 0.18)	0.9665408935063144
REF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.18, 0.3)	0.9549289604997525
REF	CENTRAL_SOUTH_ASIA	HGDP00021	[0.3, 0.51)	0.9444444444444444
REF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.01, 0.03)	0.97973497747667
REF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.03, 0.06)	0.9818565537142919
REF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.06, 0.1)	0.9828299258975749
REF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.1, 0.18)	0.9722093003221861
REF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.18, 0.3)	0.9602331162152896
REF	CENTRAL_SOUTH_ASIA	HGDP00023	[0.3, 0.51)	0.9470080830015684
REF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.01, 0.03)	0.9817662592154472
REF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.03, 0.06)	0.9854852429714334
REF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.06, 0.1)	0.980778022305149
REF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.1, 0.18)	0.9744663255285057
REF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.18, 0.3)	0.9685083609492248
REF	CENTRAL_SOUTH_ASIA	HGDP00039	[0.3, 0.51)	0.9566895886114126
REF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.01, 0.03)	0.9817782079315577
REF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.03, 0.06)	0.9825672168922482
REF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.06, 0.1)	0.9706141889664998
REF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.1, 0.18)	0.9745524715287469
REF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.18, 0.3)	0.9596903211061593
REF	CENTRAL_SOUTH_ASIA	HGDP00052	[0.3, 0.51)	0.9419813407326979
REF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.01, 0.03)	0.9847175920947294
REF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.03, 0.06)	0.9835470706679157
REF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.06, 0.1)	0.9859768868476169
REF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.1, 0.18)	0.9804362433452215
REF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.18, 0.3)	0.96676570296728
REF	CENTRAL_SOUTH_ASIA	HGDP00068	[0.3, 0.51)	0.9622190051071701
REF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.01, 0.03)	0.9796513364638968
REF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.03, 0.06)	0.978593963670037
REF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.06, 0.1)	0.9803102308125751
REF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.1, 0.18)	0.9729156975241638
REF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.18, 0.3)	0.9630137508094313
REF	CENTRAL_SOUTH_ASIA	HGDP00086	[0.3, 0.51)	0.9492500100534844
REF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.01, 0.03)	0.9859363611379958
REF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.03, 0.06)	0.9865620053622766
REF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.06, 0.1)	0.9842333003752964
REF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.1, 0.18)	0.9784979583397944
REF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.18, 0.3)	0.9653563402277834
REF	CENTRAL_SOUTH_ASIA	HGDP00092	[0.3, 0.51)	0.9460932159086339
REF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.01, 0.03)	0.9846458997980666
REF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.03, 0.06)	0.9865835406100936
REF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.06, 0.1)	0.9851050936114567
REF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.1, 0.18)	0.9788253131407109
REF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.18, 0.3)	0.9665466803793853
REF	CENTRAL_SOUTH_ASIA	HGDP00099	[0.3, 0.51)	0.9524269111674106
REF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.01, 0.03)	0.9843232844630845
REF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.03, 0.06)	0.9877572116161127
REF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.06, 0.1)	0.9860300449717729
REF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.1, 0.18)	0.976266776933547
REF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.18, 0.3)	0.963080409857921
REF	CENTRAL_SOUTH_ASIA	HGDP00100	[0.3, 0.51)	0.9427956729802549
REF	CENTRAL_SOUTH_ASIA	HGDP00105	[0.01, 0.03)	0.9813719515838023
REF	CENTRAL_SOUTH_ASIA	HGDP00105	[0.03, 0.06)	0.9804890654779209
REF	CENTRAL_SOUTH_ASIA	HGDP00105	[0.06, 0.1)	0.9793852794522587
REF	CENTRAL_SOUTH_ASIA	HGDP00105	[0.1, 0.18)	0.9709084957185438
